Companies,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03
NVR Inc,Consumer Discretionary_6350.62_1643827000_20620120207_13.4_11.2_-46.5,Consumer Discretionary_6306.44_1614540000_20562387265_13.5_3.5_-40.3,Consumer Discretionary_6377.33_1614540000_20817716016_13.6_3.5_-40.3,Consumer Discretionary_5963.3_1614540000_19466185052_12.7_3.5_-40.3,Consumer Discretionary_5412.62_1636304000_17374385710_11.4_-2.5_-45.3,Consumer Discretionary_6155.39_1636304000_19568169472_13_-2.5_-45.3,Consumer Discretionary_7000.45_1636304000_22254640564_14.7_-2.5_-45.3,Consumer Discretionary_7075.29_1591611000_22604674214_15.4_-9.6_-49.2,Consumer Discretionary_7625.57_1591611000_24296186979_13.9_-9.6_-49.2,Consumer Discretionary_8099.96_1591611000_25904174278_14.8_-9.6_-49.2
Pfizer,Health Care_36.68_29052000000_207069861494_6.5_0.4_15.7,Health Care_36.06_29052000000_203569771141_6.4_0.4_15.7,Health Care_35.38_21473000000_199754049587_8.4_-23.1_20.7,Health Care_33.17_21473000000_187276478937_7.8_-23.1_20.7,Health Care_30.56_21473000000_172540524459_7.2_-23.1_20.7,Health Care_30.47_10483000000_172046213007_13.2_-31.4_20,Health Care_28.79_10483000000_162560238677_12.5_-31.4_20,Health Care_27.08_2119000000_152904871947_21.8_-41.7_20,Health Care_26.56_2119000000_149978434968_21.7_-41.7_69.8,Health Care_27.75_2119000000_156698101294_22.7_-41.7_69.8
Packaging Corporation of America,Materials_132.16_965800000_11885437570_12.4_3.2_60.2,Materials_153.35_867000000_13791100570_15.7_-4.6_63.3,Materials_149.1_867000000_13406338577_15.4_-4.6_56,Materials_153.55_867000000_13806460688_15.8_-4.6_56,Materials_153.05_787700000_13761503147_17_-8.2_63.3,Materials_168.01_787700000_15057778139_18.8_-8.2_52.7,Materials_162.91_787700000_14600694224_18.2_-8.2_52.7,Materials_165.88_765200000_14866878386_19.4_-8_52.7,Materials_181.19_765200000_16238994122_20.6_-8_49.2,Materials_189.78_765200000_17008865304_21.6_-8_49.2
Prologis,Real Estate_122.63_2678694000_113242630825_43.1_35_42.9,Real Estate_124.75_3283329000_115200344087_38_56.6_47.5,Real Estate_124.2_3283329000_114743660400_38.7_56.6_47.5,Real Estate_112.21_3283329000_103666555020_34.5_56.6_47.5,Real Estate_100.75_3015492000_93079096500_38.6_43.4_46.1,Real Estate_114.93_3015492000_106179459660_44.9_43.4_46.1,Real Estate_133.3_3015492000_123150804600_52.1_43.4_46.1,Real Estate_126.69_3059214000_117057885990_48.2_34.3_50.3,Real Estate_133.27_3059214000_123258890870_50.8_34.3_50.3,Real Estate_130.22_3059214000_120438003820_49.6_34.3_50.3
S&P Global,Financials_400.89_2808000000_128605512000_46.6_37.8_27.5,Financials_394.51_2347000000_125533082000_43.5_26.2_27.1,Financials_390.86_2347000000_124371652000_43.5_26.2_27.1,Financials_365.41_2347000000_116273462000_40.5_26.2_27.1,Financials_349.31_2347000000_111150442000_38.3_26.2_27.1,Financials_415.83_2481000000_131734944000_44.4_18.9_26.8,Financials_440.52_2481000000_139556736000_47_18.9_26.8,Financials_448.35_2481000000_142037280000_48.5_18.9_26.8,Financials_428.38_2626000000_134554158000_36.9_11.8_28.3,Financials_425.45_2626000000_136253275556_36.7_11.8_28.3
Sysco,Consumer Staples_74.2_1546377000_37595827996_19.9_14.8_681,Consumer Staples_76.31_1546377000_38664927687_20.4_14.8_681,Consumer Staples_69.65_1770124000_35168085244_18.1_11.2_510.4,Consumer Staples_66.05_1770124000_33350352194_17.1_11.2_510.4,Consumer Staples_66.49_1770124000_33525958282_17_11.2_510.4,Consumer Staples_72.17_1807948000_36400525075_17.7_7.7_515.2,Consumer Staples_73.13_1807948000_36884722166_18_7.7_515.2,Consumer Staples_80.93_2081974000_40289361506_19.5_5.3_492.6,Consumer Staples_80.97_2081974000_40309274696_19.5_5.3_492.6,Consumer Staples_81.18_2081974000_40413818943_19.5_5.3_492.6
Take Two Interactive,Communication Services_147.16_-1124700000_24919129191_0_52.6_27.3,Communication Services_152.94_-1124700000_25973955740_0_52.6_27.3,Communication Services_142.2_-1226700000_24149935352_0_45.8_29.2,Communication Services_140.39_-1226700000_23842541660_0_45.8_29.2,Communication Services_133.75_-1226700000_22714865354_0_45.8_29.2,Communication Services_158.2_-1513300000_26904697484_0_25.6_32.2,Communication Services_160.95_-1513300000_27372383439_0_25.6_32.2,Communication Services_164.93_-1513300000_28049252567_0_25.6_32.2,Communication Services_146.93_-1451500000_25064261368_0_11.6_30.6,Communication Services_148.49_-1451500000_25330376169_0_11.6_30.6
Vulcan Materials Company,Materials_225.44_604500000_29996912489_43.3_23.2_62.5,Materials_220.5_604500000_29339599023_42.3_23.2_62.5,Materials_218.25_725800000_28998041603_36.7_14.6_60,Materials_202.02_725800000_26841623663_33.9_14.6_60,Materials_196.49_825200000_26108291812_29.8_6.8_55.5,Materials_213.56_825200000_28376440528_32.5_6.8_55.5,Materials_227.01_825200000_30163587583_34.5_6.8_55.5,Materials_226.01_825200000_30030714196_35.2_6.8_55.5,Materials_265.85_933200000_35152577194_41.3_6.4_47,Materials_272.92_933200000_36099581720_42.4_6.4_47
Viatris,Health Care_9.98_1904100000_11966319240_5.8_-10.5_88.4,Health Care_10.53_1904100000_12625785732_6.1_-10.5_88.4,Health Care_10.75_1854200000_12894974321_7.5_-9.2_87.3,Health Care_9.86_1854200000_11827390401_6.7_-9.2_87.3,Health Care_8.9_1854200000_10675839206_6_-9.2_87.3,Health Care_9.18_1831500000_11012979780_6.2_-7.5_82.9,Health Care_10.83_1831500000_12992436930_7.4_-7.5_82.9,Health Care_11.77_1831500000_14120127670_8_-7.5_82.9,Health Care_12.37_54700000_14690230373_10.8_-5.1_84.8,Health Care_11.94_54700000_14179575639_10.4_-5.1_84.8
Waters Corporation,Health Care_266.54_688847000_15734808014_22.9_3.4_180,Health Care_276.21_688847000_16305662646_24.5_3.4_180,Health Care_280.8_674537000_16596100498_24.5_3.2_310.2,Health Care_274.21_674537000_16206612242_23.4_3.2_310.2,Health Care_238.53_674537000_14097819985_20.2_3.2_310.2,Health Care_280.61_653091000_16591621016_24_1.5_249,Health Care_329.23_653091000_19466374638_28.2_1.5_249,Health Care_317.71_653091000_18785231863_28.1_1.5_249,Health Care_337.42_642234000_19976150065_30.4_-0.5_177.9,Health Care_344.23_642234000_20379319948_31_-0.5_177.9
West Pharmaceutical Services,Health Care_382.47_552100000_28395561102_49_0.1_-20.6,Health Care_368.04_518700000_27183880464_48.9_-2.1_-17.7,Health Care_406.9_518700000_30054127163_54.7_-2.1_-17.7,Health Care_375.21_518700000_27713465355_50.2_-2.1_-17.7,Health Care_318.29_559400000_23550172064_40_0.6_-20.6,Health Care_350.76_559400000_25952616649_43.8_0.6_-20.6,Health Care_352.12_559400000_26053242600_44_0.6_-20.6,Health Care_373.03_559400000_27600366600_47_0.6_-20.6,Health Care_358.36_593400000_26267535715_44.5_2.2_-18.9,Health Care_395.71_593400000_28968095776_49.2_2.2_-18.9
ExxonMobil,Energy_107.25_61690000000_433610135459_7.2_28.6_4.3,Energy_107.24_51720000000_429281720000_8.3_3.4_5.8,Energy_111.19_51720000000_445115005987_8.8_3.4_5.8,Energy_117.58_51720000000_470695407895_9.3_3.4_5.8,Energy_105.85_41130000000_419474858233_10.2_-10.5_4,Energy_102.74_41130000000_411590125687_9.9_-10.5_4,Energy_99.98_41130000000_400533198036_9.6_-10.5_4,Energy_102.81_41130000000_411870555012_10.1_-10.5_4,Energy_104.52_36010000000_414719086968_11_-16_7.6,Energy_116.24_36010000000_461222222246_12.2_-16_7.6
Zimmer Biomet,Health Care_145.6_449700000_30367687896_28.2_-7.1_44.9,Health Care_138.15_449700000_28813846723_27_-7.1_44.9,Health Care_119.12_505600000_24891807642_23.3_-2.9_43.5,Health Care_112.22_505600000_23449955117_21.8_-2.9_43.5,Health Care_104.41_505600000_21817945231_20.1_-2.9_43.5,Health Care_116.31_474300000_24306546496_22.6_1.8_41.5,Health Care_121.7_474300000_25432952529_23.7_1.8_41.5,Health Care_125.6_474300000_26247977302_23.8_1.8_41.5,Health Care_124.36_1024000000_25504248976_23.6_6.5_44.7,Health Care_131.98_1024000000_27066989224_25_6.5_44.7
